,created_at,date_of_purchase,description,id,last_tag_date,name,serial_number,updated_at
43,2018-03-07T21:56:52.122Z,2014-02-17T00:00:00.000Z,EBot,5aa0602471cc2c001c7ba050,,EBot 62163,62163,2018-03-07T21:56:52.122Z
44,2018-03-07T21:57:36.544Z,2014-02-17T00:00:00.000Z,EBot,5aa0605071cc2c00277ba04a,,EBot 62165,62165,2018-03-07T21:57:36.544Z
45,2018-03-14T18:47:52.717Z,,EBot,5aa96e5861f7fe2170881034,,EBot 6081,6081,2018-03-14T18:47:52.717Z
46,2018-03-14T18:48:34.723Z,,EBot,5aa96e8261f7fe2190881043,,EBot 6143,6143,2018-03-14T18:48:34.723Z
47,2018-03-14T18:49:21.082Z,,EBot,5aa96eb161f7fe2170881038,,EBot 6144,6144,2018-03-14T18:49:21.082Z
48,2018-03-14T18:49:53.305Z,,EBot,5aa96ed161f7fe2170881039,,EBot 6540,6540,2018-03-14T18:49:53.305Z
49,2018-03-14T18:50:58.191Z,2006-05-25T00:00:00.000Z,EBot,5aa96f1261f7fe2190881048,,EBot 6541,6541,2018-03-14T18:50:58.191Z
50,2018-03-14T18:52:57.697Z,,EBot,5aa96f8961f7fe217088103f,,EBot 6543,6543,2018-03-14T18:52:57.697Z
51,2018-03-14T18:53:56.987Z,,EBot,5aa96fc461f7fe219088104c,,EBot 6674,6674,2018-03-14T18:53:56.987Z
52,2018-03-14T18:54:40.996Z,,EBot,5aa96ff061f7fe2170881044,,EBot 6675,6675,2018-03-14T18:54:40.996Z
53,2018-03-14T18:55:31.227Z,2006-05-01T00:00:00.000Z,EBot,5aa9702361f7fe2170881046,,EBot 6676,6676,2018-03-14T18:55:31.227Z
54,2018-03-14T18:56:07.810Z,,EBot,5aa9704761f7fe2170881049,,EBot 6686,6686,2018-03-14T18:56:07.810Z
55,2018-03-14T18:56:52.925Z,,EBot,5aa9707461f7fe217088104b,,EBot 6687,6687,2018-03-14T18:56:52.925Z
56,2018-03-14T18:57:26.453Z,,EBot,5aa9709661f7fe217088104d,,EBot 6691,6691,2018-03-14T18:57:26.453Z
57,2018-03-14T18:58:21.274Z,,EBot,5aa970cd61f7fe219088105b,,EBot 6692,6692,2018-03-14T18:58:21.274Z
58,2018-03-14T18:59:04.658Z,,EBot,5aa970f861f7fe2170881050,,EBot 6715,6715,2018-03-14T18:59:04.658Z
59,2018-03-14T19:02:05.355Z,,EBot,5aa971ad61f7fe2170881052,,EBot 6716,6716,2018-03-14T19:02:05.355Z
60,2018-03-14T19:03:09.550Z,2006-08-22T00:00:00.000Z,EBot,5aa971ed61f7fe2190881063,,EBot 6717,6717,2018-03-14T19:03:09.550Z
61,2018-03-14T19:10:04.283Z,,EBot,5aa9738c61f7fe219088106c,,EBot 6718,6718,2018-03-14T19:10:04.283Z
62,2018-03-14T19:11:06.355Z,,EBot,5aa973ca61f7fe2190881070,,EBot 6729,6729,2018-03-14T19:11:06.355Z
63,2018-03-14T19:11:28.381Z,,EBot,5aa973e061f7fe217088105e,,EBot 6730,6730,2018-03-14T19:11:28.381Z
64,2018-03-14T19:12:48.741Z,,EBot,5aa9743061f7fe2170881060,,EBot 6750,6750,2018-03-14T19:12:48.741Z
65,2018-03-14T19:14:30.263Z,,EBot,5aa9749661f7fe2170881066,,EBot 6758,6758,2018-03-14T19:14:30.263Z
66,2018-03-14T19:16:25.033Z,2007-11-27T00:00:00.000Z,EBot,5aa9750961f7fe217088106c,,EBot 6774,6774,2018-03-14T19:16:25.033Z
67,2018-03-14T19:17:26.420Z,2007-11-27T00:00:00.000Z,EBot,5aa9754661f7fe219088107d,,EBot 6870,6870,2018-03-14T19:17:26.420Z
68,2018-03-14T19:18:04.112Z,2007-12-11T00:00:00.000Z,EBot,5aa9756c61f7fe219088107f,,EBot 6871,6871,2018-03-14T19:18:04.112Z
69,2018-03-14T19:18:43.235Z,2007-09-30T00:00:00.000Z,EBot,5aa9759361f7fe2190881080,2018-04-12T19:20:24.976+00:00,EBot 6875,6875,2018-03-14T19:18:43.235Z
70,2018-03-14T19:19:45.569Z,2007-09-30T00:00:00.000Z,EBot,5aa975d161f7fe2190881081,2018-04-12T19:07:40.906+00:00,EBot 6876,6876,2018-03-14T19:19:45.569Z
71,2018-03-14T19:20:30.761Z,2007-09-30T00:00:00.000Z,EBot,5aa975fe61f7fe2170881072,2018-04-12T15:40:19.974+00:00,EBot 6877,6877,2018-03-14T19:20:30.761Z
72,2018-03-14T19:21:17.193Z,2007-09-30T00:00:00.000Z,EBot,5aa9762d61f7fe2190881084,2018-04-12T15:37:45.746+00:00,EBot 6878,6878,2018-03-14T19:21:17.193Z
73,2018-03-14T19:22:11.767Z,2007-09-30T00:00:00.000Z,EBot,5aa9766361f7fe2190881086,2018-04-12T15:19:33.015+00:00,EBot 6879,6879,2018-03-14T19:22:11.767Z
74,2018-03-14T19:22:45.473Z,2007-09-30T00:00:00.000Z,EBot,5aa9768561f7fe2190881088,2018-04-11T20:18:59.232+00:00,EBot 6880,6880,2018-03-14T19:22:45.473Z
75,2018-03-14T19:23:22.157Z,2007-09-30T00:00:00.000Z,EBot,5aa976aa61f7fe219088108c,,EBot 6881,6881,2018-03-14T19:23:22.157Z
76,2018-03-14T19:24:12.968Z,2007-09-30T00:00:00.000Z,EBot,5aa976dc61f7fe219088108d,,EBot 6882,6882,2018-03-14T19:24:12.968Z
77,2018-03-14T19:32:56.062Z,2010-07-28T00:00:00.000Z,EBot,5aa978e861f7fe2170881085,,EBot 60449,60449,2018-03-14T19:32:56.062Z
78,2018-03-14T19:33:39.841Z,2010-07-28T00:00:00.000Z,EBot,5aa9791361f7fe219088109c,,EBot 60450,60450,2018-03-14T19:33:39.841Z
79,2018-03-14T19:34:25.442Z,2010-07-28T00:00:00.000Z,EBot,5aa9794161f7fe2170881086,,EBot 60451,60451,2018-03-14T19:34:25.442Z
80,2018-03-14T19:35:05.670Z,2010-07-28T00:00:00.000Z,EBot,5aa9796961f7fe2170881088,,EBot 60452,60452,2018-03-14T19:35:05.670Z
81,2018-03-14T19:42:53.988Z,2010-07-28T00:00:00.000Z,EBot,5aa97b3d61f7fe2170881090,,EBot 60465,60465,2018-03-14T19:42:53.988Z
82,2018-03-14T19:43:34.163Z,2010-07-28T00:00:00.000Z,EBot,5aa97b6661f7fe2170881092,2018-05-17T23:51:30.787+00:00,EBot 60466,60466,2018-03-14T19:43:34.163Z
83,2018-03-14T19:44:25.461Z,2010-07-28T00:00:00.000Z,EBot,5aa97b9961f7fe2170881094,,EBot 60467,60467,2018-03-14T19:44:25.461Z
84,2018-03-14T19:45:12.916Z,2010-07-28T00:00:00.000Z,EBot,5aa97bc861f7fe2170881095,,EBot 60469,60469,2018-03-14T19:45:12.916Z
